geo,indicator,forecast_year,forecast_value,model_used
UKC1,bed_places,2024,28324.323895897418,Single
UKC2,bed_places,2024,61702.242742487186,Single
UKD1,bed_places,2024,86934.41031270893,Single
UKD3,bed_places,2024,74643.57618782495,Single
UKD4,bed_places,2024,124987.47247661206,Single
UKD6,bed_places,2024,46642.557207333986,Single
UKD7,bed_places,2024,43194.335858432976,Single
UKE1,bed_places,2024,26332.702939843086,Single
UKE2,bed_places,2024,127475.43682072625,Single
UKE3,bed_places,2024,24715.0836404722,Single
UKE4,bed_places,2024,48040.29142948227,Single
UKF1,bed_places,2024,71438.9811127537,Single
UKF2,bed_places,2024,55218.01646847598,Single
UKF3,bed_places,2024,56146.6943885898,Single
UKG1,bed_places,2024,62224.88094366429,Single
UKG2,bed_places,2024,44396.129745082115,Single
UKG3,bed_places,2024,72775.05707548182,Single
UKH1,bed_places,2024,100617.03445198596,Single
UKH2,bed_places,2024,39144.13820753085,Single
UKH3,bed_places,2024,53472.648501395815,Single
UKI1,bed_places,2024,459615.62933617656,Single
UKI2,bed_places,2024,105419.73140984448,Single
UKI3,bed_places,2024,228175.88201018694,Single
UKI4,bed_places,2024,148627.75055427768,Single
UKI5,bed_places,2024,41959.52363216237,Single
UKI6,bed_places,2024,37588.777821918025,Single
UKI7,bed_places,2024,26366.27762720939,Single
UKJ1,bed_places,2024,118716.93352344632,Single
UKJ2,bed_places,2024,181817.53255418298,Single
UKJ3,bed_places,2024,155087.61420511006,Single
UKJ4,bed_places,2024,90512.64041415422,Single
UKK1,bed_places,2024,133420.88235608322,Single
UKK2,bed_places,2024,246848.32589849998,Single
UKK3,bed_places,2024,251139.97364404734,Single
UKK4,bed_places,2024,216492.33231661373,Single
UKL1,bed_places,2024,413263.1955351805,Single
UKL2,bed_places,2024,185908.89029471355,Single
UKM2,bed_places,2024,67100.41374350565,Single
UKM3,bed_places,2024,39151.12662166495,Single
UKM5,bed_places,2024,15131.320843487229,Single
UKM6,bed_places,2024,43957.08156193062,Single
UKN0,bed_places,2024,38902.431319710086,Single
AL01,bed_places_per_1k_persons,2024,46.76242652835387,Single
AL02,bed_places_per_1k_persons,2024,40.78653212956553,Single
AL03,bed_places_per_1k_persons,2024,49.99299239409605,Single
ATZZ,bed_places_per_1k_persons,2024,3.4338057724953472,Single
DKZZ,bed_places_per_1k_persons,2024,3.4338057724953472,Single
ES64,bed_places_per_1k_persons,2024,10.04294222252745,Single
ESZZ,bed_places_per_1k_persons,2024,3.4338057724953472,Single
FR21,bed_places_per_1k_persons,2024,3.4338057724953472,Single
FR22,bed_places_per_1k_persons,2024,3.4338057724953472,Single
FR23,bed_places_per_1k_persons,2024,3.4338057724953472,Single
FR24,bed_places_per_1k_persons,2024,3.4338057724953472,Single
FR25,bed_places_per_1k_persons,2024,3.4338057724953472,Single
FR26,bed_places_per_1k_persons,2024,3.4338057724953472,Single
FR3,bed_places_per_1k_persons,2024,3.4338057724953472,Single
FR30,bed_places_per_1k_persons,2024,3.4338057724953472,Single
FR41,bed_places_per_1k_persons,2024,3.4338057724953472,Single
FR42,bed_places_per_1k_persons,2024,3.4338057724953472,Single
FR43,bed_places_per_1k_persons,2024,3.4338057724953472,Single
FR51,bed_places_per_1k_persons,2024,3.4338057724953472,Single
FR52,bed_places_per_1k_persons,2024,3.4338057724953472,Single
